id|price|ean|wartosci_odzywcze|title
43631|1.39 zł|5900197010965|{'Wartość energetyczna ': '258 kJ / 61 kcal', 'Tłuszcz ': '1,5 g', ' w tym kwasy nasycone ': '0,9 g', 'Węglowodany ': '7,2 g', ' w tym cukry ': '7,2 g', 'Białko ': '4,7 g', 'Sól ': '0,10 g', 'Wapń ': '160 mg 20%', '% Referencyjnej Wartości Spożycia*': '', '*Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal)': '', 'metadata': '100 g jogurtu'}|Bakoma Jogurt Naturalny Łagodny Smak 170 G
60756|2.10 zł|5900197013065|{'Wartość energetyczna ': '417 kJ/100 kcal', 'Tłuszcz ': '7,5 g', ' w tym kwasy tłuszczowe nasycone ': '4,5 g', 'Węglowodany ': '4,7 g', ' w tym cukry ': '4,7 g', 'Białko ': '3,5 g', 'Sól ': '0,12 g', 'metadata': '100 g jogurtu'}|Bakoma Jogurt Naturalny Typ Grecki 200 G
31058|3.19 zł|5900197012723|{'Wartość energetyczna ': '417 kJ/ 100 kcal', 'Tłuszcz ': '7,5 g', ' w tym kwasy tłuszczowe nasycone ': '4,5 g', 'Węglowodany ': '4,7 g', ' w tym cukry ': '4,7 g', 'Białko ': '3,5 g', 'Sól ': '0,12 g', 'metadata': '100 g jogurtu'}|Bakoma Jogurt Naturalny Typ Grecki 440 G
62452|10.49 zł|5904277462736||Czachorowski Ekologiczne Jaja Klasa M
98922|6.99 zł|5906190532428||Czachorowski Jaja Z Kurnika Z Wolnego Wybiegu Klasa L
88031|3.99 zł|5902899140742|{'wartość energetyczna ': '1421 kJ / 342 kcal', 'tłuszcz ': '26 g', 'w tym kwasy tłuszczowe nasycone ': '19 g', 'węglowodany ': '0 g', 'w tym cukry ': '0 g', 'białko ': '27 g', 'sól ': '1,1 g', 'wapń ': '836 mg (105% RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal))', 'metadata': 'w 100 g:'}|Hochland Ser Żółty Maasdamer W Plastrach 135 G
2730|1.49 zł|5902057000680|{'wartość energetyczna ': '777 kJ (188 kcal)', 'tłuszcz ': '18 g', ' w tym kwasy nasycone': '12,5 g', 'węglowodany ': '3,9 g', ' w tym cukry': '3,8 g', 'białko ': '2,6 g', 'sól ': '0,08 g', 'metadata': '100 g'}|Krasnystaw Śmietana 18% Homogenizowana 150 G
40930|6.49 zł|5740900400825|{'Energia': '3071 kJ/747 kcal', 'Tłuszcz ': '82 g', 'w tym kwasy nasycone ': '53 g', 'Węglowodany ': '0,7 g', 'w tym cukry ': '0,7 g', 'Białko ': '0,6 g', 'Sól ': '0 g', 'Witamina A ': '733 µg (92%*)', '* Procent referencyjnej wartości spożycia - RWS.': '', 'metadata': 'w 100 g produktu:'}|Lurpak Masło Klasyczne 200 G
87459|3.19 zł|5900512982175|{'Wartość energetyczna ': '505 kJ / 120 kcal', 'Tłuszcz ': '4.0 g', 'w tym kwasy nasycone ': '2.6 g', 'Węglowodany ': '4,0 g', 'w tym cukry ': '4,0 g', 'Białko ': '17 g', 'Sól ': '0,10 g', 'Zawartość laktozy <0,1 g/ 100 g.': '', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu w mleku.': '', 'metadata': 'w 100 g:'}|Mlekovita Twaróg Bez Laktozy Półtłusty 230 G
61784|3.79 zł|5900820005528|{'wartość energetyczna ': '1441 kJ/347 kcal', 'tłuszcz w tym': '27 g', '- kwasy tłuszczowe nasycone ': '17 g', 'węglowodany w tym': '0 g', '- cukry': '0 g', 'białko ': '26 g', 'sól ': '1,3 g', 'wapń': '820 mg', '*RWS - referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8 400 kJ/2 000 kcal).': '', 'Opakowanie 150 g zawiera 7 sugerowanych porcji produktu.': '', 'metadata': 'w 100 g\nw porcji 21,4 g (1 plaster)\n% RWS* w porcji'}|Mlekpol Ser Królewski Z Kolna W Plastrach 150 G
94941|2.19 zł|5901432002653|{'wartość energetyczna ': '186 kJ / 44 kcal', 'tłuszcz ': '1,5 g', 'w tym kwasy tłuszczowe nasycone ': '1,0 g', 'węglowodany ': '4,7 g', 'w tym cukry ': '4,7 g', 'białko ': '3,0 g', 'sól ': '0,10 g', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 ml produktu'}|Mu! Mleko Uht 1,5% 1 L
46884|0.99 zł|5900531000423|{'Wartość energetyczna ': '242 kJ / 58 kcal', 'Tłuszcz ': '2,0 g', 'w tym kwasy tłuszczowe nasycone ': '1,4 g', 'Węglowodany ': '5,9 g', 'w tym cukry ': '5,6 g', 'Białko ': '4,0 g', 'Sól*': '0,13 g', '*Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 g'}|Piątnica Jogurt Naturalny 150 G
