|id|price|ean|wartosci_odzywcze|title
35|30920|3.88 zł|5900049003015|{'Wartość energetyczna ': '807 kJ / 190 kcal', 'Tłuszcz ': '0,7 g', ' - w tym kwasy tłuszczowe nasycone ': '0,2 g', 'Węglowodany ': '38 g', ' - w tym cukry ': '0 g', 'Błonnik ': '2,8 g', 'Białko ': '6,6 g', 'Sól ': '0 g', 'metadata': 'w 100 g ugotowanego produktu:'}|Lubella Filini Makaron Nitki Cięte 500 G
36|2776|4.69 zł|5900397010444|{'energia': '888 kJ/209 kcal', 'tłuszcz ': '<0,5 g', 'w tym kwasy nasycone ': '0,1 g', 'węglowodany ': '49 g', 'w tym cukry ': '49 g', 'białko ': '1,1 g', 'sól ': '0 g', 'metadata': 'w 100 g produktu:'}|Łowicz Powidła Węgierkowe 290 G
37|67090|4.49 zł|5201193198771|{'Energia': '114 kJ / 27 kcal', 'Tłuszcz': '0,5 g', ' w tym: Kwasy tłuszczowe nasycone ': '0 g', 'Węglowodany': '4,0 g', ' w tym: Cukry ': '4,0 g', 'Białko ': '1,2 g', 'Sól ': '0,50 g', 'metadata': 'W 100 g'}|Primo Gusto Przetarte Pomidory 690 G
38|19214|9.48 zł|5900020007292|{'Energia ': '373 kcal', 'Tłuszcz ': '2,9 g', '- w tym: kwasy nasycone': '0,6 g', 'Węglowodany ': '73,8 g', '- w tym: cukry': '24,9 g', 'Błonnik ': '9,2 g', 'Białko ': '8,4 g', 'Sól ': '0,77 g', 'Witaminy i składniki mineralne:': '100 g (%)**', 'Witamina D ': '2,91 µg (58%)', 'Witamina C ': '49,6 mg (62%)', 'B2/Ryboflawina': '1,11 mg (79%)', 'B3/Niacyna': '14,5 mg (91%)', 'Witamina B6 ': '1,16 mg (83%)', 'B9/Kwas foliowy': '183 µg (92%)', 'B5/Kwas pantotenowy': '4,44 mg (74%)', 'Wapń ': '506 mg (63%)', 'Żelazo ': '12,3 mg (88%)', '* % referencyjnej wartości spożycia dla dorosłych wg rozporządzenia UE Nr 1169/2011': '', '**półtłustego': '', 'To opakowanie zawiera około 16 porcji 30-gramowych. ': '', 'Dostosuj wielkość porcji do swoich potrzeb. ': '', 'metadata': '100 g\n30 g\n30 g + 125 ml mleka**'}|Nestlé Cheerios Miodowy Płatki Śniadaniowe 500 G
39|60974|9.48 zł|5900020006165|{'Energia': '420 kcal', 'Tłuszcz ': '10,3 g', '- w tym: kwasy nasycone': '1,1 g', 'Węglowodany ': '73,4 g', '- w tym: cukry': '24,9 g', 'Błonnik ': '5,0 g', 'Białko ': '6,1 g', 'Sól ': '0,90 g', 'Witaminy i składniki mineralne:': '100 g (%)*', 'Witamina D ': '3,17 µg (63%)', 'B1/Tiamina': '1,30 mg (118%)', 'B2/Ryboflawina': '1,28 mg (91%)', 'B3/Niacyna ': '14,4 mg (90%)', 'Witamina B6 ': '1,30 mg (93%)', 'B9/Kwas foliowy': '174 µg (87%)', 'B5/Kwas pantotenowy ': '5,18 mg (86%)', 'Wapń ': '635 mg (79%)', 'Żelazo ': '7,59 mg (54%)', '* % referencyjnej wartości spożycia dla dorosłych wg rozporządzenia UE Nr 1169/2011': '', '**półtłustego': '', 'To opakowanie zawiera około 16 porcji 30-gramowych.': '', 'Dostosuj wielkość porcji do swoich potrzeb.': '', 'metadata': '100 g\n30 g\n30 g + 125 ml mleka**'}|Nestlé Cini Minis Płatki Śniadaniowe 500 G
40|13791|1.09 zł|12068||Pączek Wypiek Własny
41|81119|3.99 zł|5906340630578|{'Wartość energetyczna:': '1700 kJ/400 kcal', 'Tłuszcz:': '0 g', 'w tym kwasy tłuszczowe nasycone:': '0 g', 'Węglowodany:': '100 g', 'w tym cukry:': '100 g', 'Białko:': '0 g', 'Sól:': '0 g', 'metadata': 'w 100 g produktu'}|Polski Cukier Cukier Trzcinowy Demerara 500 G
42|59996|2.49 zł|5901696000013|{'wartość energetyczna ': '866 kJ / 209 kcal', 'tłuszcz ': '17 g', '- w tym kwasy nasycone ': '5,8 g', 'węglowodany ': '5,2 g', '- w tym cukry ': '0,7 g', 'białko ': '8,5 g', 'sól ': '1,4 g', 'metadata': 'w 100 g:'}|Profi Pasztet Firmowy 131 G
43|51423|1.73 zł|5900085010091|{'Wartość energetyczna ': '22 kcal', 'Tłuszcz ': '0,2 g', 'w tym kwasy tłuszczowe nasycone ': '0,1 g', 'Węglowodany ': '3,8 g', 'w tym cukry ': '1,1 g', 'Błonnik ': '0,1 g', 'Białko ': '1,1 g', 'Sól ': '0,66 g', '*Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal).': '', 'Opakowanie zawiera 4 porcje.': '', 'Wielkość porcji powinna być dostosowana do wieku dziecka.': '', 'metadata': 'W 100 ml\nJeśli spożyjesz porcję: 1 talerz (250 ml) W 1 porcji\n% RWS* w porcji'}|Winiary Nasza Specjalność Barszcz Biały 66 G
44|57825|3.90 zł|8003740024079|{'Wartość energetyczna ': '1476 kJ / 348 kcal', 'Tłuszcz ': '1,1 g', 'w tym kwasy tłuszczowe nasycone ': '0,1 g', 'Węglowodany ': '71 g', 'w tym cukry ': '3,5 g', 'Błonnik ': '3 g', 'Białko ': '12 g', 'Sól ': '0,01 g', 'metadata': '100 g'}|Arrighi Makaron Tortiglioni 500 G
45|30690|4.98 zł|8076800195057|{'Wartość energetyczna kJ': '1521', 'Wartość energetyczna kcal': '359 ', 'Tłuszcz g': '2,0', 'w tym: kwasy tłuszczowe nasycone g': '0,5', 'Węglowodany g': '70,9', 'w tym: cukry g': '3,5', 'Błonnik g': '3,0', 'Białko g': '12,8', 'Sól g': '0,013', '*85 g = Opakowanie zawiera około 6 porcji.': '', '**RI = Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal).': '', 'metadata': '100 g\n85 g*\n%RI**/85 g'}|Barilla Makaron Spaghetti 500 G
46|65561|4.79 zł|3083681031171|{'Wartość energetyczna ': '464 kJ - 111 kcal', 'Tłuszcz ': '3,0 g', 'w tym kwasy tłuszczowe nasycone ': '0,4 g', 'Węglowodany ': '14,7 g', 'w tym cukry ': '6,3 g', 'Błonnik ': '4,0 g', 'Białko ': '4,2 g', 'Sól ': '0,65 g', 'Opakowanie zawiera 2 porcje.': '', 'metadata': 'produktu w 100 g'}|Bonduelle Danie Na Ciepło Indyjska Fasolka Curry 430 G
47|65651|4.69 zł|3083680077675|{'Wartość energetyczna ': '455 kJ - 109 kcal', 'Tłuszcz ': '3,2 g', 'w tym kwasy tłuszczowe nasycone ': '0,4 g', 'Węglowodany ': '13,1 g', 'w tym cukry ': '5,8 g', 'Błonnik ': '5,1 g', 'Białko ': '4,3 g', 'Sól ': '1,00 g', 'Opakowanie zawiera 2 porcje.': '', 'metadata': 'produktu w 100 g'}|Bonduelle Na Ciepło Polska Fasolka Po Bretońsku 430 G
48|9702|3.98 zł|3083680072694|{'Wartość energetyczna ': '111 kJ - 27 kcal', 'Tłuszcz ': '0,3 g', 'w tym kwasy tłuszczowe nasycone': 'ilości śladowe', 'Węglowodany ': '3,6 g', 'w tym cukry ': '2,1 g', 'Błonnik ': '2,3 g', 'Białko ': '1,2 g', 'Sól ': '0,60 g', 'metadata': 'Wartość spożywcza odsączonego produktu w 100 g'}|Bonduelle Fasolka Szparagowa Zielona Cięta 400 G
49|21884|1.99 zł|91222||Bułka Wrocławska Wyrób Własny
50|60439|2.19 zł|5900154000114||Chaber Pieczywo Chrupkie Wykwintne
51|61578|0.99 zł|99202||Chleb Polski
52|46259|1.85 zł|05852||Ciabatta Naturalna
53|96535|3.89 zł|5900864520117|{'Wartość energetyczna ': '1184 kJ/280 kcal', 'Tłuszcz ': '3,9 g', 'w tym kwasy tłuszczowe nasycone ': '0,4 g', 'Węglowodany ': '52 g', 'w tym cukry ': '5,6 g', 'Białko ': '8,8 g', 'Sól ': '1,4 g', 'metadata': 'w 100 g'}|Dan Cake Chleb Tostowy Pszenny 500 G
